Query,Category,Source
Moyamoya,Rare diseases,https://www.raregenomics.org/rare-disease-list
Morgellons,Rare diseases,https://www.raregenomics.org/rare-disease-list
Muckle-Wells Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
Neuromyelitis Optica Spectrum Disorder,Rare diseases,https://www.raregenomics.org/rare-disease-list
Pachygyria,Rare diseases,https://www.raregenomics.org/rare-disease-list
Pachyonychia Congenita,Rare diseases,https://www.raregenomics.org/rare-disease-list
Pallister-Hall Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
Pallister-Killian Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
Panhypopituitarism,Rare diseases,https://www.raregenomics.org/rare-disease-list
Papillon-Lefevre Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
Paramyotonia Congenita,Rare diseases,https://www.raregenomics.org/rare-disease-list
Paraneoplastic Cerebellar Degeneration (PCD),Rare diseases,https://www.raregenomics.org/rare-disease-list
Paraneoplastic Limbic Encephalitis (PLE),Rare diseases,https://www.raregenomics.org/rare-disease-list
Parapsoriasis,Rare diseases,https://www.raregenomics.org/rare-disease-list
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),Rare diseases,https://www.raregenomics.org/rare-disease-list
Peripartum Cardiomyopathy,Rare diseases,https://www.raregenomics.org/rare-disease-list
Sarcoidosis,Rare diseases,https://www.raregenomics.org/rare-disease-list
Sjogren’s Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
Smith-Magenis Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
Syringomyelia,Rare diseases,https://www.raregenomics.org/rare-disease-list
Systemic Capillary Leak Syndrome,Rare diseases,https://www.raregenomics.org/rare-disease-list
TFE3-Associated Neurodevelopmental Disorder,Rare diseases,https://www.raregenomics.org/rare-disease-list
Wilson’s Disease,Rare diseases,https://www.raregenomics.org/rare-disease-list
Malignant Peripheral Nerve Sheath Tumors,Rare diseases,https://www.raregenomics.org/rare-disease-list
McArdle Disease,Rare diseases,https://www.raregenomics.org/rare-disease-list
Akt/PKB signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
AMPK signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
cAMP-dependent pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Eph/ephrin signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Hedgehog signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Hippo signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Insulin signal transduction pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
JAK-STAT signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
MAPK/ERK signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
mTOR signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Nodal signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Notch signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
PI3K/AKT/mTOR signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
TGF beta signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
TLR signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
VEGF signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Wnt signalling pathway,Signaling pathways,https://en.wikipedia.org/wiki/List_of_signalling_pathwayss
Myocarditis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Lupus nephritis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Primary sclerosing cholangitis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Antisynthetase syndrome,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Lichen planus,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Addison's disease,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Autoimmune pancreatitis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Ord's thyroiditis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Endometriosis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Esophageal achalasia,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Evans syndrome,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Rheumatoid arthritis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Fibromyalgia,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Guillain–Barré syndrome,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Graves' ophthalmopathy,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Ménière's disease,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Kawasaki disease,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Vasculitis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Scleritis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Transverse myelitis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Myasthenia gravis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Adiposis dolorosa,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
CREST syndrome,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Sarcoidosis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Bickerstaff's encephalitis,Autoimmune diseases,https://en.wikipedia.org/wiki/List_of_autoimmune_diseases
Adrenergic Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Cholinergic Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Dendrites ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Dopaminergic Neurons,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
GABAergic Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Grid Cells ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Interneurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Mirror Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Nerve Fibers ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Neural Analyzers ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Neurofibrils,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
"Neurons, Afferent ",Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
"Neurons, Efferent",Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Neuropil ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Nissl Bodies ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Nitrergic Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Purkinje Cells ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Pyramidal Cells,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Serotonergic Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Suprachiasmatic Nucleus Neurons ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Muscle Cells ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Myeloid Cells ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
"Neoplastic Cells, Circulating",Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Neuroglia,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Neurons,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Oxyphil Cells,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Pancreatic Stellate Cells,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Phagocytes ,Cells,https://meshb.nlm.nih.gov/record/ui?ui=D055166
Bacillus anthracis,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Bartonella henselae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Bordetella pertussis,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Borrelia burgdorferi,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Brucella abortus,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Campylobacter jejuni,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Chlamydia pneumoniae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Clostridium botulinum,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Corynebacterium diphtheriae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Enterococcus faecalis,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Escherichia coli,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Francisella tularensis,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Haemophilus influenzae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Helicobacter pylori,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Legionella pneumophila,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Leptospira interrogans,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Listeria monocytogenes,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Mycobacterium leprae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Mycoplasma pneumoniae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Neisseria gonorrhoeae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Pseudomonas aeruginosa,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Rickettsia rickettsii,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Salmonella typhi,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Shigella sonnei,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Staphylococcus aureus,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Streptococcus agalactiae,Infectious bacteria,https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens 
Athletic Tape,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Occlusive Dressings,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Cannula,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Urinary Catheters,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Intrauterine Devices,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Dental Articulators,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Rubber Dams,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Endoscopes,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Flowmeters,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Otoscopes,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Incubators,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Gastric Balloon,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Infusion Pumps,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Nebulizers,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Lasers,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Contact Lenses,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Oxygenators,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Breast Implants,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Drug-Eluting Stents,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Syringes,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Chest Tubes,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Wheelchairs,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Surgical Mesh,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Trusses,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Masks,Medical devices,https://www.ncbi.nlm.nih.gov/mesh/68004864
Acalabrutinib,Drugs,https://medlineplus.gov/druginformation.html
Baclofen,Drugs,https://medlineplus.gov/druginformation.html
Cabergoline,Drugs,https://medlineplus.gov/druginformation.html
Dalfampridine,Drugs,https://medlineplus.gov/druginformation.html
Edoxaban,Drugs,https://medlineplus.gov/druginformation.html
Felodipine,Drugs,https://medlineplus.gov/druginformation.html
Gefitinib,Drugs,https://medlineplus.gov/druginformation.html
Hydroxyzine,Drugs,https://medlineplus.gov/druginformation.html
Imipramine,Drugs,https://medlineplus.gov/druginformation.html
Jublia,Drugs,https://medlineplus.gov/druginformation.html
Ketoprofen,Drugs,https://medlineplus.gov/druginformation.html
Letrozole,Drugs,https://medlineplus.gov/druginformation.html
Molnupiravir,Drugs,https://medlineplus.gov/druginformation.html
Nafarelin,Drugs,https://medlineplus.gov/druginformation.html
Oxazepam,Drugs,https://medlineplus.gov/druginformation.html
Perphenazine,Drugs,https://medlineplus.gov/druginformation.html
Quetiapine,Drugs,https://medlineplus.gov/druginformation.html
Rufinamide,Drugs,https://medlineplus.gov/druginformation.html
Saxagliptin,Drugs,https://medlineplus.gov/druginformation.html
Trihexyphenidyl,Drugs,https://medlineplus.gov/druginformation.html
Upadacitinib,Drugs,https://medlineplus.gov/druginformation.html
Viloxazine,Drugs,https://medlineplus.gov/druginformation.html
Warfarin,Drugs,https://medlineplus.gov/druginformation.html
Xanax,Drugs,https://medlineplus.gov/druginformation.html
Zonisamide,Drugs,https://medlineplus.gov/druginformation.html
Safe housing,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
neighborhood environment,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
public transportation,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
structural racism,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
discrimination,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
partner violence,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
nutritional status children,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
physical activity and exercise,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
polluted air or polluted water,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
Language skills,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health
literacy skills,"Social determinants of health, health equities",https://health.gov/healthypeople/priority-areas/social-determinants-health